metric_group,split,source_split,model_slug,dataset,stage,num_filtered_samples,num_metric_rows,num_missing_rows,num_rated_final,num_missing_rating,benchmark_score_0_to_5,mean_final_rating_0_to_5,mean_raw_score_0_to_5,macro_mean_final_rating_0_to_5,macro_mean_raw_score_0_to_5,num_rated_raw,num_render_success
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,ChartQA,,45,45,0,45,0,3.1933333333,3.1933333333,3.1722222222,3.1933333333,3.1722222222,45,43
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,ChemVQA-2K,,63,63,0,63,0,2.7619047619,2.7619047619,2.7460317460,2.7619047619,2.7460317460,63,62
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,DocVQA,,68,68,0,68,0,3.5602941176,3.5602941176,3.5360294118,3.5602941176,3.5360294118,68,64
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,EEE-Bench,,22,22,0,22,0,2.1545454545,2.1545454545,2.1306818182,2.1545454545,2.1306818182,22,21
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,GEOQA_8K_R1V,,21,21,0,21,0,3.1333333333,3.1333333333,3.1190476190,3.1333333333,3.1190476190,21,21
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,Geoperception,,34,34,0,34,0,3.4764705882,3.4764705882,3.4610294118,3.4764705882,3.4610294118,34,33
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,Graph-Algorithms,,39,39,0,39,0,3.4358974359,3.4358974359,3.4198717949,3.4358974359,3.4198717949,39,32
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,GraphVQA-Swift,,42,42,0,42,0,4.4142857143,4.4142857143,4.4023809524,4.4142857143,4.4023809524,42,41
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,OlympiadBench,,23,23,0,23,0,2.9913043478,2.9913043478,2.9673913043,2.9913043478,2.9673913043,23,21
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,Physics,,31,31,0,31,0,3.1096774194,3.1096774194,3.0887096774,3.1096774194,3.0887096774,31,26
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,dvqa,,39,39,0,39,0,3.8000000000,3.8000000000,3.7839743590,3.8000000000,3.7839743590,39,37
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,figureqa,,39,39,0,39,0,3.0179487179,3.0179487179,3.0051282051,3.0179487179,3.0051282051,39,30
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,geometry3k,,21,21,0,21,0,3.1904761905,3.1904761905,3.1750000000,3.1904761905,3.1750000000,21,19
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,matplotlib,,13,13,0,13,0,2.9307692308,2.9307692308,2.9211538462,2.9307692308,2.9211538462,13,12
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,spatialvlm_qa,,39,39,0,39,0,1.4615384615,1.4615384615,1.4487179487,1.4615384615,1.4487179487,39,23
