split,source_split,model_a,model_b,mean_a,mean_b,mean_diff_a_minus_b,ci_level,ci_lower,ci_upper,bootstrap_std,num_paired_samples,a_sample_win_rate,b_sample_win_rate,tie_rate,interpretation
filtered_test_mini,test-mini,gpt_5_4_mini,gpt_5_4_mini_reasoning_medium,3.7955390335,4.0821561338,-0.2866171004,0.9500000000,-0.4282527881,-0.1459014870,0.0717008919,538,0.3029739777,0.3234200743,0.3736059480,model_b_higher
filtered_test_mini,test-mini,gpt_5_4_mini,gemini_3_1_flash_lite_preview,3.7985102421,2.9830540037,0.8154562384,0.9500000000,0.6370577281,0.9871508380,0.0894221848,537,0.5270018622,0.1750465549,0.2979515829,model_a_higher
filtered_test_mini,test-mini,gpt_5_4_mini_reasoning_medium,gemini_3_1_flash_lite_preview,4.0828996283,2.9821561338,1.1007434944,0.9500000000,0.9397769517,1.2617100372,0.0824151214,538,0.5669144981,0.1654275093,0.2676579926,model_a_higher
filtered_test,test,qwen35_9b,kimi_k2_5,1.5777214022,2.8654520295,-1.2877306273,0.9500000000,-1.3769845480,-1.2014748616,0.0452295692,2168,0.1637453875,0.6748154982,0.1614391144,model_b_higher
filtered_test,test,qwen35_9b,kimi_k2_5_reasoning,1.5769940065,3.1702166897,-1.5932226833,0.9500000000,-1.6822037805,-1.5048858921,0.0445588550,2169,0.1277086215,0.7201475334,0.1521438451,model_b_higher
filtered_test,test,qwen35_9b,qwen35_397b_a17b,1.5761421320,2.1876788186,-0.6115366867,0.9500000000,-0.6924803876,-0.5339640055,0.0403382932,2167,0.2381172127,0.5440701431,0.2178126442,model_b_higher
filtered_test,test,qwen35_9b,qwen35_397b_a17b_reasoning,1.5769940065,2.8587367450,-1.2817427386,0.9500000000,-1.3742750115,-1.1903158137,0.0471949339,2169,0.1857999078,0.6334716459,0.1807284463,model_b_higher
filtered_test,test,qwen35_9b,gpt_5_4_mini,1.5761070111,3.6783671587,-2.1022601476,0.9500000000,-2.1875922509,-2.0143450185,0.0442437672,2168,0.0784132841,0.8214944649,0.1000922509,model_b_higher
filtered_test,test,qwen35_9b,gpt_5_4_mini_reasoning_medium,1.5769940065,4.0435223605,-2.4665283541,0.9500000000,-2.5414015675,-2.3887943753,0.0391850950,2169,0.0470262794,0.8801290917,0.0728446289,model_b_higher
filtered_test,test,qwen35_9b,gemini_3_1_flash_lite_preview,1.5775623269,2.8966759003,-1.3191135734,0.9500000000,-1.3954305171,-1.2397933980,0.0400412100,2166,0.1080332410,0.6855955679,0.2063711911,model_b_higher
filtered_test,test,kimi_k2_5,kimi_k2_5_reasoning,2.8654520295,3.1707564576,-0.3053044280,0.9500000000,-0.3887476937,-0.2214933118,0.0427528067,2168,0.2698339483,0.4072878229,0.3228782288,model_b_higher
filtered_test,test,kimi_k2_5,qwen35_397b_a17b,2.8657894737,2.1886888273,0.6771006464,0.9500000000,0.5878578024,0.7681486611,0.0460110684,2166,0.5346260388,0.2663896584,0.1989843029,model_a_higher
filtered_test,test,kimi_k2_5,qwen35_397b_a17b_reasoning,2.8654520295,2.8600553506,0.0053966790,0.9500000000,-0.0850622694,0.0983394834,0.0467649737,2168,0.3671586716,0.3630073801,0.2698339483,overlap_zero
filtered_test,test,kimi_k2_5,gpt_5_4_mini,2.8644670051,3.6789109368,-0.8144439317,0.9500000000,-0.9090470697,-0.7223315644,0.0474815405,2167,0.1859713890,0.5763728657,0.2376557453,model_b_higher
filtered_test,test,kimi_k2_5,gpt_5_4_mini_reasoning_medium,2.8654520295,4.0432656827,-1.1778136531,0.9500000000,-1.2634686347,-1.0942769834,0.0428477650,2168,0.1586715867,0.6268450185,0.2144833948,model_b_higher
filtered_test,test,kimi_k2_5,gemini_3_1_flash_lite_preview,2.8649884527,2.8975519630,-0.0325635104,0.9500000000,-0.1162632794,0.0500727483,0.0425180348,2165,0.3357967667,0.3722863741,0.2919168591,overlap_zero
filtered_test,test,kimi_k2_5_reasoning,qwen35_397b_a17b,3.1708352561,2.1876788186,0.9831564375,0.9500000000,0.8963532533,1.0683433318,0.0441827463,2167,0.5934471620,0.1905860637,0.2159667743,model_a_higher
filtered_test,test,kimi_k2_5_reasoning,qwen35_397b_a17b_reasoning,3.1702166897,2.8587367450,0.3114799447,0.9500000000,0.2245723836,0.4001394652,0.0449621931,2169,0.3988012909,0.2770862148,0.3241124942,model_a_higher
