metric_group,split,source_split,model_slug,stage,num_filtered_samples,num_metric_rows,num_missing_rows,num_rated_final,num_missing_rating,benchmark_score_0_to_5,mean_final_rating_0_to_5,mean_raw_score_0_to_5,macro_mean_final_rating_0_to_5,macro_mean_raw_score_0_to_5,num_rated_raw,num_render_success
generic_rubric,filtered_test_mini,test-mini,qwen35_9b,,539,539,0,535,4,2.3771000000,2.2867289720,2.2696728972,2.3771000000,2.3591000000,535,413
generic_rubric,filtered_test_mini,test-mini,kimi_k2_5,,539,539,0,538,1,3.6322000000,3.6453531599,3.6296468401,3.6322000000,3.6161000000,538,502
generic_rubric,filtered_test_mini,test-mini,qwen35_397b_a17b,,539,539,0,539,0,3.1088000000,3.1610389610,3.1436920223,3.1088000000,3.0918000000,539,485
