metric_group,split,source_split,model_slug,dataset,num_filtered_samples,num_metric_rows,num_missing_rows,scored_rows,missing_render_rows,embed_error_rows,mean_cosine_image_only,mean_cosine_image_plus_text,mean_cosine_image_only_0_to_5,mean_cosine_image_plus_text_0_to_5,mean_cosine_image_only_0_to_5_all_rows,mean_cosine_image_plus_text_0_to_5_all_rows
cosine_similarity,filtered_test,test,qwen35_397b_a17b,GEOQA_8K_R1V,73,73,0,69,4,0,0.8341918959,0.9217245605,4.5854797398,4.8043114012,4.3342205760,4.5410614614
cosine_similarity,filtered_test,test,qwen35_397b_a17b,Geoperception,137,137,0,126,11,0,0.9089588778,0.9477689238,4.7723971946,4.8694223095,4.3892120184,4.4784467956
cosine_similarity,filtered_test,test,qwen35_397b_a17b,Graph-Algorithms,161,161,0,146,15,0,0.9342819583,0.9649123170,4.8357048957,4.9122807924,4.3851733837,4.4546148801
cosine_similarity,filtered_test,test,qwen35_397b_a17b,GraphVQA-Swift,175,175,0,158,17,0,0.9522978928,0.9660977182,4.8807447319,4.9152442954,4.4066152436,4.4377634210
cosine_similarity,filtered_test,test,qwen35_397b_a17b,OlympiadBench,81,81,0,76,5,0,0.8539083216,0.8950914286,4.6347708039,4.7377285714,4.3486738407,4.4452761905
cosine_similarity,filtered_test,test,qwen35_397b_a17b,Physics,121,121,0,98,23,0,0.9182575345,0.9569085952,4.7956438363,4.8922714880,3.8840751732,3.9623355853
cosine_similarity,filtered_test,test,qwen35_397b_a17b,dvqa,161,161,0,140,21,0,0.9387116364,0.9573620911,4.8467790910,4.8934052278,4.2145905139,4.2551349807
cosine_similarity,filtered_test,test,qwen35_397b_a17b,figureqa,161,161,0,130,31,0,0.9244741907,0.9330235596,4.8111854769,4.8325588990,3.8848081490,3.9020661917
cosine_similarity,filtered_test,test,qwen35_397b_a17b,geometry3k,65,65,0,60,5,0,0.9088402748,0.9535078565,4.7721006870,4.8837696413,4.4050160188,4.5080950535
cosine_similarity,filtered_test,test,qwen35_397b_a17b,matplotlib,31,31,0,24,7,0,0.9120966444,0.9458035181,4.7802416111,4.8645087952,3.7008322150,3.7660713253
cosine_similarity,filtered_test,test,qwen35_397b_a17b,spatialvlm_qa,161,161,0,73,88,0,0.6569543154,0.7518151125,4.1423857886,4.3795377812,1.8782246122,1.9857531555
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,ChartQA,45,45,0,38,7,0,0.7963366634,0.8853953120,4.4908416585,4.7134882800,3.7922662894,3.9802789920
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,ChemVQA-2K,63,63,0,22,41,0,0.6220185702,0.8187439306,4.0550464256,4.5468598266,1.4160479582,1.5877923204
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,DocVQA,68,68,0,49,19,0,0.8441171214,0.9243967010,4.6102928036,4.8109917525,3.3221227555,3.4667440570
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,EEE-Bench,22,22,0,18,4,0,0.7295753161,0.8283355004,4.3239382903,4.5708387511,3.5377676920,3.7397771600
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,GEOQA_8K_R1V,21,21,0,19,2,0,0.7438595389,0.8555131147,4.3596488473,4.6387827867,3.9444441951,4.1969939499
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,Geoperception,34,34,0,32,2,0,0.8166822456,0.8899325579,4.5417056140,4.7248313949,4.2745464602,4.4469001363
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,Graph-Algorithms,39,39,0,38,1,0,0.7972905338,0.8839051018,4.4932263345,4.7097627544,4.3780154028,4.5889996069
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,GraphVQA-Swift,42,42,0,42,0,0,0.8663208371,0.9192054825,4.6658020928,4.7980137063,4.6658020928,4.7980137063
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,OlympiadBench,23,23,0,21,2,0,0.7921327239,0.8438086169,4.4803318097,4.6095215423,4.0907377393,4.2086935821
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,Physics,31,31,0,28,3,0,0.8792766822,0.9325873511,4.6981917056,4.8314683778,4.2435279921,4.3639069219
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,dvqa,39,39,0,38,1,0,0.9224408928,0.9481317024,4.8061022319,4.8703292561,4.6828688414,4.7454490188
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,figureqa,39,39,0,32,7,0,0.9037832972,0.9208817910,4.7594582429,4.8022044776,3.9051965070,3.9402703406
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,geometry3k,21,21,0,19,2,0,0.8107093886,0.8945110597,4.5267734716,4.7362776493,4.0956521886,4.2852035874
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,matplotlib,13,13,0,9,4,0,0.8794271217,0.9349040455,4.6985678044,4.8372601138,3.2528546338,3.3488723865
cosine_similarity,filtered_test_mini,test-mini,qwen35_9b,spatialvlm_qa,39,39,0,8,31,0,0.5413485020,0.6543139741,3.8533712551,4.1357849352,0.7904351293,0.8483661406
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,ChartQA,45,45,0,45,0,0,0.8704591817,0.9213936369,4.6761479543,4.8034840922,4.6761479543,4.8034840922
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,ChemVQA-2K,63,63,0,63,0,0,0.9146403273,0.9614720676,4.7866008182,4.9036801689,4.7866008182,4.9036801689
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,DocVQA,68,68,0,54,14,0,0.9237937872,0.9563439499,4.8094844680,4.8908598749,3.8192964893,3.8839181359
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,EEE-Bench,22,22,0,21,1,0,0.8741332576,0.9197952634,4.6853331441,4.7994881585,4.4723634557,4.5813296058
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,GEOQA_8K_R1V,21,21,0,20,1,0,0.9003796309,0.9566496342,4.7509490773,4.8916240856,4.5247134070,4.6586896053
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,Geoperception,34,34,0,33,1,0,0.9203662023,0.9550735409,4.8009155058,4.8876838522,4.6597121086,4.7439284447
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,Graph-Algorithms,39,39,0,38,1,0,0.9463444666,0.9690039268,4.8658611665,4.9225098169,4.7410954955,4.7962916165
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,GraphVQA-Swift,42,42,0,42,0,0,0.9565601604,0.9657453228,4.8914004011,4.9143633069,4.8914004011,4.9143633069
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,OlympiadBench,23,23,0,22,1,0,0.9129502421,0.9401615506,4.7823756053,4.8504038765,4.5744462311,4.6395167514
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,Physics,31,31,0,30,1,0,0.9322367827,0.9637755215,4.8305919568,4.9094388038,4.6747664098,4.7510698101
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,dvqa,39,39,0,39,0,0,0.9591170228,0.9748275922,4.8977925571,4.9370689805,4.8977925571,4.9370689805
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,figureqa,39,39,0,39,0,0,0.9370123179,0.9455234745,4.8425307946,4.8638086862,4.8425307946,4.8638086862
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,geometry3k,21,21,0,20,1,0,0.9377734005,0.9716818124,4.8444335014,4.9292045310,4.6137461918,4.6944805057
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,matplotlib,13,13,0,13,0,0,0.9490169699,0.9694289382,4.8725424248,4.9235723454,4.8725424248,4.9235723454
cosine_similarity,filtered_test_mini,test-mini,kimi_k2_5,spatialvlm_qa,39,39,0,23,16,0,0.7937851859,0.8488208781,4.4844629648,4.6220521953,2.6446832869,2.7258256536
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,ChartQA,45,45,0,43,2,0,0.7677090861,0.8571041573,4.4192727153,4.6427603932,4.2228605946,4.4364154869
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,ChemVQA-2K,63,63,0,62,1,0,0.8661737317,0.9420929888,4.6654343293,4.8552324719,4.5913798161,4.7781652898
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,DocVQA,68,68,0,64,4,0,0.9023563005,0.9461511634,4.7558907513,4.8653779086,4.4761324718,4.5791792081
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,EEE-Bench,22,22,0,21,1,0,0.8129114338,0.8872794026,4.5322785846,4.7181985066,4.3262659216,4.5037349381
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,GEOQA_8K_R1V,21,21,0,21,0,0,0.8404634737,0.9255210928,4.6011586842,4.8138027319,4.6011586842,4.8138027319
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,Geoperception,34,34,0,33,1,0,0.9113709529,0.9486804803,4.7784273823,4.8717012008,4.6378854005,4.7284158714
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,Graph-Algorithms,39,39,0,32,7,0,0.9323811065,0.9626226965,4.8309527664,4.9065567413,3.9638586801,4.0258927108
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,GraphVQA-Swift,42,42,0,41,1,0,0.9490540958,0.9626160918,4.8726352395,4.9065402296,4.7566201148,4.7897178431
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,OlympiadBench,23,23,0,21,2,0,0.8844955422,0.9176041285,4.7112388554,4.7940103213,4.3015659115,4.3771398586
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,Physics,31,31,0,26,5,0,0.9132381999,0.9521143230,4.7830954996,4.8802858075,4.0116284836,4.0931429353
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,dvqa,39,39,0,37,2,0,0.9461757299,0.9631437289,4.8654393248,4.9078593222,4.6159296158,4.6561742287
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,figureqa,39,39,0,30,9,0,0.9236430287,0.9341577848,4.8091075718,4.8353944619,3.6993135168,3.7195342015
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,geometry3k,21,21,0,19,2,0,0.9156675025,0.9590419845,4.7891687563,4.8976049611,4.3330574461,4.4311663934
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,matplotlib,13,13,0,12,1,0,0.8793070664,0.9253747414,4.6982676660,4.8134368534,4.3368624609,4.4431724801
cosine_similarity,filtered_test_mini,test-mini,qwen35_397b_a17b,spatialvlm_qa,39,39,0,23,16,0,0.6399511138,0.7374869896,4.0998777844,4.3437174740,2.4178766421,2.5616795360
