metric_group,split,source_split,model_slug,dataset,source_kind,num_filtered_samples,num_metric_rows,num_missing_rows,num_render_success,render_success_rate
render_success,filtered_test_mini,test,kimi_k2_5,geometry3k,benchmark_eval_test_derived,21,21,0,21,1.0000000000
render_success,filtered_test_mini,test,kimi_k2_5,matplotlib,benchmark_eval_test_derived,13,13,0,13,1.0000000000
render_success,filtered_test_mini,test,kimi_k2_5,spatialvlm_qa,benchmark_eval_test_derived,39,39,0,27,0.6923076923
render_success,filtered_test,test,kimi_k2_5_reasoning,ChartQA,benchmark_eval,195,195,0,163,0.8358974359
render_success,filtered_test,test,kimi_k2_5_reasoning,ChemVQA-2K,benchmark_eval,288,288,0,267,0.9270833333
render_success,filtered_test,test,kimi_k2_5_reasoning,DocVQA,benchmark_eval,292,292,0,249,0.8527397260
render_success,filtered_test,test,kimi_k2_5_reasoning,EEE-Bench,benchmark_eval,67,67,0,59,0.8805970149
render_success,filtered_test,test,kimi_k2_5_reasoning,GEOQA_8K_R1V,benchmark_eval,73,73,0,66,0.9041095890
render_success,filtered_test,test,kimi_k2_5_reasoning,Geoperception,benchmark_eval,137,137,0,118,0.8613138686
render_success,filtered_test,test,kimi_k2_5_reasoning,Graph-Algorithms,benchmark_eval,161,161,0,153,0.9503105590
render_success,filtered_test,test,kimi_k2_5_reasoning,GraphVQA-Swift,benchmark_eval,175,175,0,172,0.9828571429
render_success,filtered_test,test,kimi_k2_5_reasoning,OlympiadBench,benchmark_eval,81,81,0,74,0.9135802469
render_success,filtered_test,test,kimi_k2_5_reasoning,Physics,benchmark_eval,121,121,0,116,0.9586776860
render_success,filtered_test,test,kimi_k2_5_reasoning,dvqa,benchmark_eval,161,161,0,156,0.9689440994
render_success,filtered_test,test,kimi_k2_5_reasoning,figureqa,benchmark_eval,161,161,0,152,0.9440993789
render_success,filtered_test,test,kimi_k2_5_reasoning,geometry3k,benchmark_eval,65,65,0,61,0.9384615385
render_success,filtered_test,test,kimi_k2_5_reasoning,matplotlib,benchmark_eval,31,31,0,28,0.9032258065
render_success,filtered_test,test,kimi_k2_5_reasoning,spatialvlm_qa,benchmark_eval,161,161,0,118,0.7329192547
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,ChartQA,benchmark_eval_test_derived,45,45,0,35,0.7777777778
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,ChemVQA-2K,benchmark_eval_test_derived,63,63,0,61,0.9682539683
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,DocVQA,benchmark_eval_test_derived,68,68,0,62,0.9117647059
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,EEE-Bench,benchmark_eval_test_derived,22,22,0,19,0.8636363636
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,GEOQA_8K_R1V,benchmark_eval_test_derived,21,21,0,20,0.9523809524
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,Geoperception,benchmark_eval_test_derived,34,34,0,31,0.9117647059
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,Graph-Algorithms,benchmark_eval_test_derived,39,39,0,35,0.8974358974
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,GraphVQA-Swift,benchmark_eval_test_derived,42,42,0,40,0.9523809524
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,OlympiadBench,benchmark_eval_test_derived,23,23,0,21,0.9130434783
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,Physics,benchmark_eval_test_derived,31,31,0,30,0.9677419355
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,dvqa,benchmark_eval_test_derived,39,39,0,39,1.0000000000
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,figureqa,benchmark_eval_test_derived,39,39,0,37,0.9487179487
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,geometry3k,benchmark_eval_test_derived,21,21,0,18,0.8571428571
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,matplotlib,benchmark_eval_test_derived,13,13,0,13,1.0000000000
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,spatialvlm_qa,benchmark_eval_test_derived,39,39,0,29,0.7435897436
render_success,filtered_test,test,qwen35_397b_a17b,ChartQA,benchmark_eval,195,195,0,182,0.9333333333
render_success,filtered_test,test,qwen35_397b_a17b,ChemVQA-2K,benchmark_eval,288,288,0,276,0.9583333333
render_success,filtered_test,test,qwen35_397b_a17b,DocVQA,benchmark_eval,292,292,0,241,0.8253424658
render_success,filtered_test,test,qwen35_397b_a17b,EEE-Bench,benchmark_eval,67,67,0,61,0.9104477612
render_success,filtered_test,test,qwen35_397b_a17b,GEOQA_8K_R1V,benchmark_eval,73,73,0,69,0.9452054795
render_success,filtered_test,test,qwen35_397b_a17b,Geoperception,benchmark_eval,137,137,0,126,0.9197080292
render_success,filtered_test,test,qwen35_397b_a17b,Graph-Algorithms,benchmark_eval,161,161,0,146,0.9068322981
render_success,filtered_test,test,qwen35_397b_a17b,GraphVQA-Swift,benchmark_eval,175,175,0,158,0.9028571429
render_success,filtered_test,test,qwen35_397b_a17b,OlympiadBench,benchmark_eval,81,81,0,76,0.9382716049
render_success,filtered_test,test,qwen35_397b_a17b,Physics,benchmark_eval,121,121,0,98,0.8099173554
render_success,filtered_test,test,qwen35_397b_a17b,dvqa,benchmark_eval,161,161,0,140,0.8695652174
render_success,filtered_test,test,qwen35_397b_a17b,figureqa,benchmark_eval,161,161,0,130,0.8074534161
render_success,filtered_test,test,qwen35_397b_a17b,geometry3k,benchmark_eval,65,65,0,60,0.9230769231
render_success,filtered_test,test,qwen35_397b_a17b,matplotlib,benchmark_eval,31,31,0,24,0.7741935484
render_success,filtered_test,test,qwen35_397b_a17b,spatialvlm_qa,benchmark_eval,161,161,0,73,0.4534161491
render_success,filtered_test_mini,test,qwen35_397b_a17b,ChartQA,benchmark_eval_test_derived,45,45,0,42,0.9333333333
render_success,filtered_test_mini,test,qwen35_397b_a17b,ChemVQA-2K,benchmark_eval_test_derived,63,63,0,58,0.9206349206
render_success,filtered_test_mini,test,qwen35_397b_a17b,DocVQA,benchmark_eval_test_derived,68,68,0,60,0.8823529412
render_success,filtered_test_mini,test,qwen35_397b_a17b,EEE-Bench,benchmark_eval_test_derived,22,22,0,20,0.9090909091
render_success,filtered_test_mini,test,qwen35_397b_a17b,GEOQA_8K_R1V,benchmark_eval_test_derived,21,21,0,21,1.0000000000
render_success,filtered_test_mini,test,qwen35_397b_a17b,Geoperception,benchmark_eval_test_derived,34,34,0,29,0.8529411765
render_success,filtered_test_mini,test,qwen35_397b_a17b,Graph-Algorithms,benchmark_eval_test_derived,39,39,0,34,0.8717948718
render_success,filtered_test_mini,test,qwen35_397b_a17b,GraphVQA-Swift,benchmark_eval_test_derived,42,42,0,40,0.9523809524
render_success,filtered_test_mini,test,qwen35_397b_a17b,OlympiadBench,benchmark_eval_test_derived,23,23,0,23,1.0000000000
render_success,filtered_test_mini,test,qwen35_397b_a17b,Physics,benchmark_eval_test_derived,31,31,0,25,0.8064516129
render_success,filtered_test_mini,test,qwen35_397b_a17b,dvqa,benchmark_eval_test_derived,39,39,0,37,0.9487179487
render_success,filtered_test_mini,test,qwen35_397b_a17b,figureqa,benchmark_eval_test_derived,39,39,0,31,0.7948717949
render_success,filtered_test_mini,test,qwen35_397b_a17b,geometry3k,benchmark_eval_test_derived,21,21,0,19,0.9047619048
render_success,filtered_test_mini,test,qwen35_397b_a17b,matplotlib,benchmark_eval_test_derived,13,13,0,11,0.8461538462
render_success,filtered_test_mini,test,qwen35_397b_a17b,spatialvlm_qa,benchmark_eval_test_derived,39,39,0,24,0.6153846154
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,ChartQA,benchmark_eval,195,195,0,176,0.9025641026
