metric_group,split,source_split,model_slug,dataset,stage,num_filtered_samples,num_metric_rows,num_missing_rows,num_rated_final,num_missing_rating,benchmark_score_0_to_5,mean_final_rating_0_to_5,mean_raw_score_0_to_5,macro_mean_final_rating_0_to_5,macro_mean_raw_score_0_to_5,num_rated_raw,num_render_success
main_benchmark,filtered_test,test,kimi_k2_5,GraphVQA-Swift,,175,175,0,175,0,3.7794285714,3.7794285714,3.9468571429,3.7794285714,3.9468571429,175,173
main_benchmark,filtered_test,test,kimi_k2_5,OlympiadBench,,81,81,0,81,0,2.1740740741,2.1740740741,2.8929012346,2.1740740741,2.8929012346,81,77
main_benchmark,filtered_test,test,kimi_k2_5,Physics,,121,121,0,121,0,3.7157024793,3.7157024793,3.8845041322,3.7157024793,3.8845041322,121,115
main_benchmark,filtered_test,test,kimi_k2_5,dvqa,,161,161,0,161,0,4.4378881988,4.4378881988,4.4442857143,4.4378881988,4.4442857143,161,161
main_benchmark,filtered_test,test,kimi_k2_5,figureqa,,161,161,0,161,0,3.6863354037,3.6863354037,3.7700931677,3.6863354037,3.7700931677,161,156
main_benchmark,filtered_test,test,kimi_k2_5,geometry3k,,65,65,0,65,0,3.6015384615,3.6015384615,3.6417692308,3.6015384615,3.6417692308,65,64
main_benchmark,filtered_test,test,kimi_k2_5,matplotlib,,31,31,0,31,0,3.0419354839,3.0419354839,3.1712903226,3.0419354839,3.1712903226,31,31
main_benchmark,filtered_test,test,kimi_k2_5,spatialvlm_qa,,161,161,0,160,1,0.9925000000,0.9925000000,1.1604687500,0.9925000000,1.1604687500,160,102
main_benchmark,filtered_test_mini,test,kimi_k2_5,ChartQA,,45,45,0,45,0,3.0733333333,3.0733333333,3.0666666667,3.0733333333,3.0666666667,45,32
main_benchmark,filtered_test_mini,test,kimi_k2_5,ChemVQA-2K,,63,63,0,63,0,1.7333333333,1.7333333333,2.6412698413,1.7333333333,2.6412698413,63,48
main_benchmark,filtered_test_mini,test,kimi_k2_5,DocVQA,,68,68,0,68,0,2.4382352941,2.4382352941,3.4750000000,2.4382352941,3.4750000000,68,53
