mean_final_rating_0_to_5,num_rated,num_rows,render_success_rate,summary_file,task
1.5175,292,292,0.6575342465753424,summary__dataset_rubric__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.json,latex_docvqa
3.9047,43,48,1.0,summary__generic_rubric__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.json,excalidraw_full_images
