metric_group,split,source_split,model_slug,stage,num_filtered_samples,num_metric_rows,num_missing_rows,num_rated_final,num_missing_rating,benchmark_score_0_to_5,mean_final_rating_0_to_5,mean_raw_score_0_to_5,macro_mean_final_rating_0_to_5,macro_mean_raw_score_0_to_5,num_rated_raw,num_render_success
ssl,filtered_test,test,run_ssl_qwen9b,,2169,0,2169,0,2169,,,,,,0,0
ssl,filtered_test_mini,test-mini,run_ssl_qwen9b,,539,0,539,0,539,,,,,,0,0
